label,supercategory
data scientist,technical_specialized
аналитик бизнес-процесс,technical_specialized
qa engineer,technical_specialized
тестировщик,technical_specialized
специалист по защите информаци,technical_specialized
специалист по информационной безопасност,generic_it_ops
тестировщик по,technical_specialized
it-инженер,technical_specialized
инженер,generic_it_ops
мастер по ремонту компьютер,technical_specialized
ведущий инженер,technical_specialized
инженер слаботочных систем,technical_specialized
инженер-электронщик,technical_specialized
инженер асу тп,technical_specialized
инженер асутп,technical_specialized
инженер связ,technical_specialized
инженер электросвяз,technical_specialized
монтажник,technical_specialized
оператор,project_product
монтажник слаботочных систем,technical_specialized
монтажник связ,technical_specialized
техник-электрик,technical_specialized
ит-специалист,generic_it_ops
технический специалист,generic_it_ops
специалист,project_product
it-специалист,generic_it_ops
специалист it отдела,generic_it_ops
специалист по информационным технологиям,generic_it_ops
специалист по it,generic_it_ops
модератор,generic_it_ops
администратор,sysadmin_devops_network
техник,generic_it_ops
администратор баз данных,sysadmin_devops_network
администратор проект,sysadmin_devops_network
администратор сайта,sysadmin_devops_network
бизнес-аналитик,generic_it_ops
аналитик,generic_it_ops
системный аналитик,sysadmin_devops_network
старший системный администратор,sysadmin_devops_network
ведущий системный администратор,sysadmin_devops_network
младший системный администратор,sysadmin_devops_network
помощник системного администратора,sysadmin_devops_network
сетевой инженер,sysadmin_devops_network
сервисный инженер,tech_support_helpdesk
системный администратор,sysadmin_devops_network
системный администратор linux,sysadmin_devops_network
системный администратор windows,sysadmin_devops_network
системный инженер,sysadmin_devops_network
инженер технической поддержк,tech_support_helpdesk
специалист технической поддержк,tech_support_helpdesk
специалист служб поддержк пользователей,tech_support_helpdesk
специалист служб технической поддержк,tech_support_helpdesk
главный специалист,project_product
специалист ит,generic_it_ops
it специалист,generic_it_ops
ведущий специалист,generic_it_ops
начинающий специалист,generic_it_ops
оператор видеонаблюдения,tech_support_helpdesk
начальник ит-отдела,it_governance_leadership
руководитель отдела,it_governance_leadership
начальник отдела,it_governance_leadership
начальник отдела информационных технологий,it_governance_leadership
руководитель отдела информационных технологий,it_governance_leadership
руководитель проекта,it_governance_leadership
руководитель проект,it_governance_leadership
руководитель,it_governance_leadership
руководитель it проект,it_governance_leadership
руководитель отдела ит,it_governance_leadership
руководитель отдела it,it_governance_leadership
руководитель ит-отдела,it_governance_leadership
руководитель it-отдела,it_governance_leadership
руководитель групп,it_governance_leadership
руководитель интернет-магазина,it_governance_leadership
руководитель ит,it_governance_leadership
руководитель ит-подразделения,it_governance_leadership
руководитель направления,it_governance_leadership
it директор,it_governance_leadership
технический директор,it_governance_leadership
product owner,project_product
product manager,project_product
project manager,project_product
координатор проекта,project_product
менеджер,project_product
менеджер проект,project_product
менеджер it-проект,project_product
менеджер проекта,project_product
менеджер интернет-проект,project_product
руководитель интернет-проект,it_governance_leadership
руководитель интернет-проекта,it_governance_leadership
3d-моделлер,technical_specialized
контент-менеджер,technical_specialized
технический писатель,technical_specialized
seo-оптимизатор,technical_specialized
seo-специалист,technical_specialized
интернет-маркетолог,technical_specialized
менеджер интернет-магазина,sales_account
менеджер по сопровождению клиент,sales_account
оператор пк,sales_account
менеджер по продажам,sales_account
менеджер по работе с клиентам,sales_account
региональный менеджер по продажам,sales_account
менеджер по управлению проектам,sales_account
специалист по работе с клиентам,sales_account
программист java,backend_general_dev
java-разработчик,backend_general_dev
php-программист,backend_general_dev
программист 1c,backend_general_dev
ведущий программист,backend_general_dev
программист-разработчик,backend_general_dev
инженер-программист,backend_general_dev
инженер-программист асу тп,backend_general_dev
программист c,backend_general_dev
программист,backend_general_dev
программист с,backend_general_dev
программист 1с,backend_general_dev
программист python,backend_general_dev
техник-программист,backend_general_dev
программист-стажер,backend_general_dev
frontend-разработчик,web_frontend
веб-разработчик,backend_general_dev
web-разработчик,web_frontend
веб-дизайнер,web_frontend
html-верстальщик,web_frontend
web-дизайнер,web_frontend
web-программист,web_frontend
